periodos_id,periodos_nombre,indicadores_id,indicadores_nombre,islas_alojamiento_id,islas_alojamiento_nombre,estancias_medias_indice_ocupacion_plazas_hoteleras_ofertadas_pernoctaciones_establecimientos_hoteleros
2010,2010,0,Estancias medias,ES70,Canarias,7.5
2010,2010,0,Estancias medias,ES708,Lanzarote,7.7
2010,2010,0,Estancias medias,ES704,Fuerteventura,8.5
2010,2010,0,Estancias medias,ES705,Gran Canaria,7.4
2010,2010,0,Estancias medias,ES709,Tenerife,7.2
2010,2010,0,Estancias medias,ES706,La Gomera,6.0
2010,2010,0,Estancias medias,ES707,La Palma,5.2
2010,2010,0,Estancias medias,ES703,El Hierro,3.1
2010,2010,1,Índice de ocupación por plazas,ES70,Canarias,63.8
2010,2010,1,Índice de ocupación por plazas,ES708,Lanzarote,57.8
2010,2010,1,Índice de ocupación por plazas,ES704,Fuerteventura,57.2
2010,2010,1,Índice de ocupación por plazas,ES705,Gran Canaria,69.3
2010,2010,1,Índice de ocupación por plazas,ES709,Tenerife,66.9
2010,2010,1,Índice de ocupación por plazas,ES706,La Gomera,62.5
2010,2010,1,Índice de ocupación por plazas,ES707,La Palma,41.1
2010,2010,1,Índice de ocupación por plazas,ES703,El Hierro,31.0
2010,2010,2,Pernoctaciones,ES70,Canarias,17955553
2010,2010,2,Pernoctaciones,ES708,Lanzarote,2575890
2010,2010,2,Pernoctaciones,ES704,Fuerteventura,2981017
2010,2010,2,Pernoctaciones,ES705,Gran Canaria,5086613
2010,2010,2,Pernoctaciones,ES709,Tenerife,6943681
2010,2010,2,Pernoctaciones,ES706,La Gomera,145145
2010,2010,2,Pernoctaciones,ES707,La Palma,210187
2010,2010,2,Pernoctaciones,ES703,El Hierro,13020
2010M04,2010 Abril,0,Estancias medias,ES70,Canarias,6.6
2010M04,2010 Abril,0,Estancias medias,ES708,Lanzarote,7.2
2010M04,2010 Abril,0,Estancias medias,ES704,Fuerteventura,7.9
2010M04,2010 Abril,0,Estancias medias,ES705,Gran Canaria,6.4
2010M04,2010 Abril,0,Estancias medias,ES709,Tenerife,6.1
2010M04,2010 Abril,0,Estancias medias,ES706,La Gomera,5.7
2010M04,2010 Abril,0,Estancias medias,ES707,La Palma,4.6
2010M04,2010 Abril,0,Estancias medias,ES703,El Hierro,2.9
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES70,Canarias,58.9
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES708,Lanzarote,58.4
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES704,Fuerteventura,57.7
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES705,Gran Canaria,59.0
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES709,Tenerife,61.0
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES706,La Gomera,53.3
2010M04,2010 Abril,1,Índice de ocupación por plazas,ES707,La Palma,38.0
