estancia_media,pernoctaciones,viajeros_alojados,viajeros_entrados
4.823183267,563097.0,140565.0,116748.0
3.992944526,448787.0,123116.0,112395.0
4.026300668,518507.0,139405.0,128780.0
4.094106204,719793.0,185512.0,175812.0
4.150801742,704362.0,190303.0,169693.0
4.296516657,819625.0,203063.0,190765.0
4.972494328,1323857.0,289008.0,266236.0
5.577218402,1850733.0,369087.0,331838.0
5.138946821,1027517.0,230752.0,199947.0
3.952086163,657556.0,179405.0,166382.0
4.426650103,595079.0,145551.0,134431.0
3.967768355,586210.0,158897.0,147743.0
5.01859077,623856.0,154773.0,124309.0
4.207378904,578401.0,148450.0,137473.0
4.044803373,660120.0,174778.0,163202.0
4.775406795,900976.0,225090.0,188670.0
3.993442151,804431.0,223225.0,201438.0
4.575490816,977668.0,229994.0,213675.0
5.038751601,1424445.0,311749.0,282698.0
5.61370119,1826384.0,358164.0,325344.0
5.055683112,1048124.0,237417.0,207316.0
4.346140872,824602.0,204375.0,189732.0
4.470787746,612945.0,149136.0,137100.0
4.282871059,673550.0,171701.0,157266.0
5.213351277,693407.0,160592.0,133006.0
4.473416226,560528.0,136772.0,125302.0
4.39563547,654431.0,163340.0,148882.0
4.162546994,807147.0,207641.0,193907.0
3.989200784,755048.0,205729.0,189273.0
4.362064659,908051.0,222837.0,208170.0
5.040295702,1311117.0,285273.0,260127.0
5.734375106,1691698.0,325678.0,295010.0
5.221615773,1085835.0,239664.0,207950.0
4.950742664,780945.0,175602.0,157743.0
4.738681094,565808.0,131649.0,119402.0
4.829152586,668799.0,153289.0,138492.0
5.178124219,600854.0,138605.0,116037.0
4.721608956,544071.0,127130.0,115230.0
4.304863276,533054.0,136875.0,123826.0
4.543660433,765057.0,185101.0,168379.0
4.366216618,689788.0,174439.0,157983.0
4.416634983,882850.0,215173.0,199892.0
4.993101205,1166708.0,254589.0,233664.0
5.559635742,1427998.0,282552.0,256851.0
4.953437005,890306.0,208784.0,179735.0
4.319600466,652156.0,163037.0,150976.0
4.440146251,439610.0,108691.0,99008.0
4.641274962,515033.0,123391.0,110968.0
5.318321916,550441.0,121669.0,103499.0
4.568722554,487935.0,117961.0,106799.0
4.382725263,622496.0,154848.0,142034.0
4.433347302,571290.0,141729.0,128862.0
4.138117743,661085.0,173188.0,159755.0
4.399339169,834823.0,215408.0,189761.0
4.898901934,1108210.0,246378.0,226216.0
5.376647573,1393869.0,283088.0,259245.0
4.775293463,807101.0,190754.0,169016.0
4.398542593,619306.0,153008.0,140798.0
4.766528759,592184.0,140886.0,124238.0
4.640422424,565519.0,134931.0,121868.0
5.185222575,487945.0,113343.0,94103.0
4.560954715,457856.0,112731.0,100386.0
4.406268604,503284.0,128855.0,114220.0
4.17929768,655410.0,166345.0,156823.0
3.826837533,657267.0,185861.0,171752.0
4.220483451,787787.0,200586.0,186658.0
4.811756238,1116390.0,251000.0,232013.0
5.243367802,1358436.0,283822.0,259077.0
4.681468858,868052.0,207648.0,185423.0
4.406619958,636501.0,157500.0,144442.0
4.339671823,507785.0,130208.0,117010.0
4.398777835,497405.0,122912.0,113078.0
5.133092811,490852.0,116567.0,95625.0
4.265505408,442495.0,115172.0,103738.0
4.038467461,472113.0,126788.0,116904.0
4.200987427,638172.0,173251.0,151910.0
4.011043884,686795.0,190782.0,171226.0
4.589888263,828126.0,193136.0,180424.0
4.674255494,991662.0,230325.0,212154.0
5.289948706,1323159.0,276435.0,250127.0
4.684275263,807377.0,194296.0,172359.0
4.297288852,632591.0,159588.0,147207.0
4.19864709,425789.0,114335.0,101411.0
4.235669082,461815.0,118221.0,109030.0
4.871397488,492547.0,121610.0,101110.0
4.32596533,439955.0,110431.0,101701.0
4.297621357,575993.0,144324.0,134026.0
4.36554429,627774.0,157782.0,143802.0
4.226446055,710884.0,193976.0,168199.0
4.321334901,794149.0,197751.0,183774.0
4.771563907,1041599.0,240873.0,218293.0
5.457413357,1280844.0,260427.0,234698.0
5.349664128,928584.0,196727.0,173578.0
4.47739576,619488.0,154336.0,138359.0
4.608976854,497410.0,120138.0,107922.0
4.483873347,547046.0,133001.0,122003.0
5.06817397,498982.0,117023.0,98454.0
4.727881666,460907.0,107958.0,97487.0
4.594940338,544891.0,129922.0,118585.0
3.937181221,588207.0,159676.0,149398.0
4.262724278,666413.0,171704.0,156335.0
4.471159458,743138.0,179460.0,166207.0
4.668669682,986714.0,235507.0,211348.0
5.249927036,1223191.0,256414.0,232992.0
4.550465422,796832.0,197072.0,175110.0
4.440317232,605233.0,148409.0,136304.0
4.429762287,469227.0,117863.0,105926.0
5.186390177,647526.0,135359.0,124851.0
4.896701654,432462.0,105045.0,88317.0
4.59910295,414255.0,98722.0,90073.0
3.88732896,523872.0,144491.0,134764.0
3.918554108,539099.0,151253.0,137576.0
3.991200202,633164.0,173131.0,158640.0
4.026885512,765221.0,204547.0,190028.0
4.507945553,917696.0,222863.0,203573.0
4.887328502,1192992.0,264754.0,244099.0
4.433648774,836297.0,215794.0,188625.0
4.131585897,625770.0,162806.0,151460.0
4.244967696,454670.0,119476.0,107108.0
4.167929487,488473.0,127655.0,117198.0
4.338453278,412101.0,110737.0,94988.0
3.903996475,372086.0,103781.0,95309.0
3.833046017,464707.0,130871.0,121237.0
3.926987891,669037.0,178924.0,170369.0
3.889865943,731217.0,203055.0,187980.0
4.131335509,859702.0,235603.0,208093.0
4.424133786,1056346.0,260191.0,238769.0
4.729253527,1324872.0,302958.0,280144.0
4.484653062,858829.0,214450.0,191504.0
3.881631913,642216.0,178721.0,165450.0
3.988177363,511061.0,144031.0,128144.0
3.968255384,533774.0,145324.0,134511.0
4.553332824,476397.0,124370.0,104626.0
3.764640893,453195.0,132228.0,120382.0
4.218317573,188698.0,52997.0,44733.0
4.843386243,4577.0,1051.0,945.0
2.188038232,23121.0,10716.0,10567.0
3.26745702,320812.0,98963.0,98184.0
4.205233116,832510.0,211300.0,197970.0
3.998357137,571937.0,156126.0,143043.0
3.571473461,386437.0,115498.0,108201.0
3.569127135,188093.0,57811.0,52700.0
3.701278781,221999.0,64160.0,59979.0
3.959928014,165030.0,48757.0,41675.0
3.078727683,151575.0,52186.0,49233.0
2.822606151,190986.0,69836.0,67663.0
2.769030387,215785.0,85348.0,77928.0
2.81449554,357182.0,137724.0,126908.0
3.143335252,529718.0,174150.0,168521.0
4.24146852,1047630.0,262597.0,246997.0
4.710136977,1365139.0,311663.0,289830.0
4.19769855,924371.0,245493.0,220209.0
3.793205613,683676.0,193592.0,180237.0
3.65490576,422540.0,125866.0,115609.0
3.695773274,500234.0,142622.0,135353.0
4.276273654,381914.0,106417.0,89310.0
3.492252732,414485.0,125317.0,118687.0
3.829759731,474040.0,136149.0,123778.0
3.5585287,657093.0,194023.0,184653.0
3.544167339,733150.0,221422.0,206861.0
3.784472415,829545.0,230921.0,219197.0
4.165873406,1083577.0,283527.0,260108.0
4.982906694,1377395.0,300225.0,276424.0
4.215527358,923230.0,244483.0,219007.0
4.020564622,721623.0,197410.0,179483.0
3.930139131,532188.0,148736.0,135412.0
4.146092356,599583.0,154454.0,144614.0
4.300982542,529666.0,144612.0,123150.0
3.747543206,420242.0,120888.0,112138.0
3.523527688,492938.0,149608.0,139899.0
3.61794777,704892.0,208974.0,194832.0
3.765115452,666753.0,192808.0,177087.0
3.703547779,844520.0,241381.0,228030.0
4.270387236,1096281.0,287278.0,256717.0
5.008471025,1326759.0,290976.0,264903.0
4.181419526,910617.0,242981.0,217777.0
3.910719652,715736.0,198027.0,183019.0
3.795149611,495286.0,141434.0,130505.0
4.034084378,547514.0,145116.0,135722.0
4.498510347,502803.0,131890.0,111771.0
3.875808538,449400.0,125247.0,115950.0
3.892715668,556199.0,153161.0,142882.0
3.876854236,602153.0,166912.0,155320.0
3.750001221,767749.0,220645.0,204733.0
3.954500585,861310.0,244002.0,217805.0
4.402014286,1091387.0,269018.0,247929.0
4.654002668,1242023.0,289034.0,266872.0
4.239082676,835502.0,219652.0,197095.0
3.971714764,686356.0,187084.0,172811.0
3.819629913,504279.0,147488.0,132023.0
3.829374876,519650.0,145945.0,135701.0
4.10556433,475683.0,135107.0,115863.0
3.618462519,420241.0,127142.0,116138.0
3.715056228,486286.0,143995.0,130896.0
3.647288002,634712.0,183663.0,174023.0
3.616556623,787111.0,237612.0,217641.0
3.951350446,825852.0,224429.0,209005.0
4.067173123,1031671.0,273847.0,253658.0
4.549341203,1244031.0,295843.0,273453.0
4.020411844,824888.0,225549.0,205175.0
3.880565479,683224.0,191859.0,176063.0
3.867674136,506236.0,144574.0,130889.0
3.830239007,508334.0,142720.0,132716.0
4.142758347,449278.0,127975.0,108449.0
3.7428312,412198.0,120878.0,110130.0
3.727934674,522731.0,151258.0,140220.0
