empleos,empleos_por_cada_1_000_pernoctaciones,empleos_por_cada_10_000_euros_de_ingresos,empleos_por_cada_100_plazas_alojativas,empleos_por_cada_100_viajeros_entrados,establecimientos,habitaciones,ingresos_por_habitacion,ingresos_totales,plazas,tarifa_media_diaria,tasa_de_ocupacion_por_habitacion,tasa_de_ocupacion_por_plaza
55118.0,7.0,2.47,12.6,6.55,1872.0,177298.0,40.57,222801853.4,437453.0,56.75,71.5,58.04
54478.0,7.86,3.02,12.52,6.72,1862.0,176299.0,36.51,180092848.9,435138.0,56.48,64.67,56.89
53714.0,6.98,2.57,12.3,6.03,1862.0,176600.0,38.16,208754329.9,436734.0,57.17,66.76,56.86
52597.0,8.03,2.96,12.1,6.1,1846.0,175818.0,33.75,177880065.3,434769.0,59.89,56.37,50.24
48113.0,8.97,3.6,11.32,6.59,1798.0,172152.0,25.04,133522737.5,424943.0,51.25,48.87,40.71
50115.0,8.64,3.74,11.82,6.58,1791.0,172055.0,25.97,133954094.9,424025.0,50.93,51.01,45.6
50769.0,6.55,3.02,11.79,5.17,1821.0,173925.0,31.18,167999867.5,430739.0,53.16,58.67,58.04
51542.0,5.85,2.48,11.93,4.72,1826.0,174419.0,38.52,208137575.6,432060.0,57.9,66.56,65.81
51082.0,7.9,3.21,11.78,6.44,1829.0,175029.0,30.28,158892931.1,433608.0,52.35,57.85,49.68
51000.0,7.48,3.0,11.66,5.62,1844.0,176555.0,31.08,169980581.7,437355.0,55.06,56.42,50.3
51788.0,7.08,2.63,11.8,5.92,1848.0,177275.0,37.08,197024130.6,438940.0,56.13,66.04,55.52
51926.0,7.14,2.47,11.86,5.8,1845.0,176865.0,38.42,210506182.4,437774.0,61.64,62.33,53.63
51541.0,6.59,2.42,11.82,5.78,1843.0,176480.0,39.02,213293924.0,436158.0,57.47,67.89,57.85
51370.0,7.03,2.51,11.79,5.82,1841.0,176258.0,41.47,204511696.3,435624.0,58.24,71.22,59.92
51273.0,6.45,2.23,11.79,5.24,1837.0,175956.0,42.23,230167962.8,434985.0,59.68,70.76,58.91
49743.0,7.87,2.96,11.53,5.46,1818.0,174728.0,32.05,167888506.4,431256.0,58.11,55.14,48.84
48432.0,8.54,3.44,11.43,5.94,1781.0,172113.0,26.44,140947968.6,423599.0,50.96,51.89,43.18
49939.0,8.16,3.5,11.69,6.1,1782.0,173586.0,27.4,142582710.3,427281.0,48.57,56.42,47.76
52428.0,6.46,2.76,12.2,4.97,1797.0,174195.0,35.18,189806615.4,429574.0,54.36,64.72,60.92
53146.0,5.74,2.31,12.34,4.74,1801.0,174332.0,42.66,230370018.4,430594.0,58.86,72.49,69.34
52089.0,7.56,2.96,12.1,5.98,1798.0,173789.0,33.82,176212889.0,430503.0,52.78,64.08,53.34
51669.0,6.94,2.58,11.96,5.22,1811.0,174459.0,37.05,200218865.4,431923.0,57.04,64.97,55.59
51721.0,6.64,2.26,11.9,5.52,1831.0,175411.0,43.51,228778464.4,434723.0,58.64,74.21,59.75
53219.0,7.27,2.42,12.27,5.61,1822.0,175285.0,40.52,220020489.1,433570.0,61.39,66.03,54.48
51867.0,6.2,2.18,11.95,5.57,1823.0,175310.0,43.87,238219095.8,434193.0,57.57,76.22,62.15
53105.0,6.45,2.13,12.24,5.38,1822.0,175248.0,50.75,248836331.8,433951.0,60.77,83.52,67.75
54056.0,6.04,1.97,12.45,5.01,1821.0,175012.0,50.67,274678072.6,434083.0,60.78,83.36,66.5
53299.0,6.95,2.31,12.29,5.05,1817.0,174906.0,43.93,230344993.4,433568.0,63.98,68.67,58.95
50783.0,8.49,3.29,11.95,6.12,1779.0,171842.0,28.97,154206115.7,424963.0,52.0,55.72,45.4
50188.0,7.63,3.13,11.8,5.61,1774.0,171884.0,31.17,160584355.9,425410.0,51.47,60.57,51.53
51844.0,5.95,2.36,12.13,4.59,1791.0,172341.0,41.07,219269073.8,427455.0,57.87,70.98,65.78
54913.0,5.63,2.15,12.79,4.65,1798.0,173376.0,47.53,255265938.3,429332.0,61.12,77.78,73.23
53200.0,6.88,2.58,12.4,5.47,1799.0,173343.0,39.64,205977551.1,429132.0,55.5,71.42,60.1
52655.0,6.44,2.39,12.18,4.94,1812.0,174183.0,40.83,220287422.8,432474.0,58.22,70.14,60.99
53659.0,6.4,2.16,12.38,5.5,1821.0,174567.0,47.38,247958372.4,433581.0,59.05,80.26,64.5
55059.0,7.05,2.28,12.68,5.74,1822.0,174892.0,44.65,241886021.7,434358.0,62.95,70.93,58.04
54354.0,6.22,2.05,12.49,5.78,1824.0,175233.0,48.87,265260398.7,435216.0,60.58,80.67,64.79
55013.0,6.72,2.15,12.67,5.84,1821.0,174735.0,50.55,255936250.9,434263.0,62.97,80.28,65.01
55299.0,6.56,2.12,12.72,5.36,1821.0,174922.0,48.11,260650871.8,434909.0,61.27,78.5,62.5
53611.0,7.8,2.74,12.4,5.89,1810.0,174058.0,37.54,195895923.2,432387.0,61.07,61.48,53.01
50078.0,8.3,3.17,11.79,6.32,1773.0,171343.0,29.74,157864502.4,424787.0,52.93,56.21,45.81
51361.0,7.7,3.1,12.05,5.77,1769.0,171638.0,32.22,165794176.3,426171.0,53.57,60.16,52.14
51807.0,6.07,2.42,12.03,4.85,1791.0,173116.0,39.9,213967207.7,430500.0,59.5,67.07,63.96
53613.0,5.8,2.28,12.41,4.85,1798.0,173903.0,43.56,234673842.4,432067.0,61.71,70.6,69.03
54270.0,7.34,2.68,12.56,5.88,1796.0,173906.0,38.85,202527626.9,432255.0,56.47,68.8,57.03
53615.0,6.72,2.4,12.37,5.19,1805.0,174328.0,41.34,223243072.6,433583.0,60.06,68.84,59.4
54517.0,6.74,2.17,12.54,5.8,1817.0,174872.0,47.83,250715076.4,434792.0,62.67,76.31,62.03
53339.0,6.77,2.16,12.27,5.65,1818.0,174866.0,45.63,247187146.2,434729.0,64.54,70.7,58.43
53196.0,6.19,2.06,12.29,5.88,1818.0,174761.0,47.74,258440539.7,432850.0,61.38,77.78,64.03
52899.0,6.73,2.16,12.28,5.81,1818.0,174474.0,50.25,245284766.9,430693.0,63.48,79.15,65.17
53651.0,6.18,1.93,12.46,4.89,1816.0,174504.0,51.37,277688424.4,430742.0,66.51,77.24,64.98
50847.0,7.54,2.59,11.92,5.89,1803.0,172884.0,37.88,196290037.8,426487.0,61.06,62.03,52.7
49814.0,7.83,2.88,11.95,5.84,1767.0,168986.0,33.09,173199605.3,416696.0,56.64,58.42,49.22
50566.0,7.5,2.87,12.06,5.64,1771.0,170072.0,34.55,176153085.6,419393.0,55.45,62.3,53.6
53269.0,6.1,2.41,12.5,4.88,1786.0,172444.0,41.33,220761538.1,426220.0,60.71,68.07,66.08
54074.0,5.65,2.06,12.64,4.61,1791.0,173395.0,48.8,262091193.3,427871.0,65.45,74.55,72.12
53108.0,6.89,2.36,12.44,5.48,1791.0,173242.0,43.38,225269949.3,427046.0,59.74,72.61,60.12
54005.0,6.4,2.13,12.6,5.0,1800.0,173912.0,47.13,253904046.5,428549.0,64.3,73.31,63.56
55707.0,6.17,1.91,12.89,5.05,1813.0,175380.0,55.35,291004346.5,432182.0,65.62,84.35,69.66
55181.0,6.27,1.92,12.77,5.27,1814.0,175348.0,52.93,287479768.6,432153.0,68.16,77.65,65.66
55118.0,5.99,1.83,12.81,5.61,1814.0,174713.0,55.72,301523775.1,430382.0,65.94,84.48,69.0
55256.0,6.57,1.99,12.89,5.69,1810.0,173922.0,57.13,277981759.1,428626.0,67.35,84.82,70.12
55302.0,6.12,1.81,12.91,4.95,1810.0,173855.0,56.69,305289719.2,428376.0,68.18,83.14,67.99
54385.0,6.97,2.24,12.72,5.25,1802.0,173497.0,46.59,242289513.9,427645.0,67.9,68.62,60.8
51885.0,7.77,2.75,12.38,5.58,1756.0,170078.0,35.8,188597972.1,419146.0,58.81,60.87,51.4
