fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-07-01,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"23,2","0,0","19,6",04:58,"26,8",17:18,99,"6,7","14,4",Varias,"11,0","1011,5",Varias,"1007,8",04,64,84,02:37,53,17:09
2015-07-02,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"24,2","0,0","20,6",02:40,"27,9",14:49,99,"9,4","16,9",Varias,"10,1","1012,2",Varias,"1008,9",05,69,84,Varias,54,14:49
2015-07-03,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"23,5","0,0","19,4",06:22,"27,6",13:18,99,"8,1","15,0",14:25,"13,0","1013,0",Varias,"1009,9",06,60,77,00:21,48,13:43
2015-07-04,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"22,6","0,0","18,0",05:19,"27,3",14:36,99,"7,5","15,0",Varias,"12,8","1013,0",00,"1008,9",18,61,77,05:28,49,13:14
2015-07-05,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"24,0","0,0","18,3",05:03,"29,8",15:07,99,"8,6","16,9",Varias,"13,2","1009,6",00,"1005,0",19,56,76,23:53,45,13:21
2015-07-06,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"24,8","0,0","20,8",05:44,"28,9",14:37,07,"6,9","16,4",13:46,"11,8","1006,0",00,"1003,3",18,67,84,Varias,55,14:36
2015-07-07,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"27,8","0,0","22,2",00:05,"33,4",04:44,99,"5,8","16,9",03:36,"10,3","1005,3",Varias,"1002,6",04,56,83,00:00,20,04:43
2015-07-08,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"27,6","0,0","22,3",Varias,"32,8",13:30,05,"4,4","18,1",01:00,"12,4","1007,9",24,"1004,9",01,56,87,Varias,30,00:00
2015-07-09,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"28,2","0,0","21,3",06:25,"35,0",14:25,05,"7,2","18,9",12:40,"12,4","1009,5",Varias,"1006,3",05,44,89,Varias,15,09:12
2015-07-10,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,"27,0","0,0","21,8",23:38,"32,2",16:22,99,"10,8","19,7",Varias,"12,0","1012,0",Varias,"1008,2",05,33,81,Varias,20,16:14
